,Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
236,Ing. Ciberseguridad Check Point,"Toluca, Estado de México",Confidencial,"Funciones y Actividades:
Realizar Diseños, Análisis, Implementación, Soporte de Ciberseguridad en Check Point y Fortinet (principalmente) entre otras marcas.
Administración de plataforma Check Point  en sitio de acuerdo a las necesidades locales y a nivel LATAM.
Llevar a cabo altas, bajas y cambios, así como soporte en caso de que se requiera.
Optimización de reglas, Configuración de FW, Navegación de Recursos y Reglas de seguridad.

Requisitos:
Ingeniería en Sistemas, Computación/Informática, Ciencias de la Computación, o afín pasante o titulado.
Especialización : Ciberseguridad Check Point y Fortinet.
Inglés  Conversacional avanzado (indispensable) .

Certificaciones obligatorias:
-CheckPoint Certified Admin (CCSA).
-Fortinet NSE1-4
Certificaciones deseables:
-CheckPoint Certified Endpoint Specialist (CCES),
-CheckPoint Certified Troubleshooting Administrator (CCTA),
-CheckPoint Certified Automation Specialist (CCAS),
-CheckPoint Certified Cloud Specialist (CCCS) .
-Fortinet NSE5 o más.

Experiencia  mínima de 2 años  en la instalación, puesta en marcha y operación de CheckPoint y Fortinet.
Experiencia en Troubleshooting CheckPoint y Fortinet.
Experiencia más de 2 años en funciones de implementación de esquemas de seguridad perimetral y controles de acceso a la información desde distintas fuentes.
Experiencia de más de 1 año en manejo de clientes.
Experiencia en soporte, mantenimiento, operación y mejora continua en soluciones Check Point y Fortinet.

Competencias y Habilidades:
Habilidad para trabajar en cumplimiento de procesos estrictos de TI.
Trabajo en equipo y automotivado.
Facilidad de palabra
Capacidad de entender requerimientos del cliente y de manera técnica.
Flexibilidad para adaptarse y trabajar en forma eficaz en diferentes situaciones, con distintas personas o grupos.
Capacidad de detección de necesidades de clientes
Escucha activa
Proactivo
Responsable
Analítico

Importante:
Inicialmente se asignará a actividades en sitio  en Toluca por un periodo de 12 meses, posterior a eso las actividades serán en diversos estados de la República Mexicana, por lo que se deberá tener disponibilidad de viajar y horario.",No especificado,Empleado de tiempo completo,Nivel Avanzado,Licenciatura,"2 años, 2 años, 1 año","Proactivo, Trabajo en equipo",,, Estado de México,2021-11-08
237,CES Umbrella Specialist,Remoto - Solo México,Administracion 360°,"CES Umbrella Specialist
Nivel alto de inglés
Tener un nivel avanzado en Cisco Umbrella,
 Cisco CES 
conocimientos en navegación/proxy para poder abordar la parte de Full Proxy Umbrella.","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Avanzado,,,,Cisco,Remote,Remoto,2021-11-08
238,Arquitecto de seguridad on-premise/Cloud Sr.,"Benito Juárez, Ciudad de México",Confidencial,"Lic. o Ing. en Informática, Sistemas, Industrial, Cibernética, o afín.
Inglés avanzado (deseable)
  OBJETIVO
Definir, establecer, alinear y formalizar  la normatividad relacionada con los servicios de cloud y on-premise, así como proveer información sobre soluciones de seguridad y sus esquemas de integración para cubrir las necesidades del cliente.
  EXPERIENCIA
·          Definición y mejora de modelos de arquitectura de seguridad en esquemas on-premise y cloud AZURE.
·          Proponer y diseñar controles de seguridad técnico y administrativos para que sean implementados en esquemas cloud (AZURE)  y on-premise con base en frameworks internacionales (Ej. NIST Cloud Computing Reference Architecture, CSA - Cloud Security Alliance, ISO 27017, etc.).
·          Definiendo y diseñando arquitecturas de seguridad para nuevos proyectos y servicios.
·           Definición de principios  y estándares de arquitectura de seguridad.

CONOCIMIENTOS
·          Frameworks de arquitectura de seguridad, por ejemplo, SABSA (Sherwood Applied Business Security Architecture).
·          Controles de seguridad aplicables a esquemas cloud, basados en CSA - Cloud Security Alliance, ISO 27017.
·          Herramientas de seguridad perimetral, red interna y SASE.
·           Controles de seguridad con enfoque de capas y/o dominios tecnológicos.
 Componentes y modelos de seguridad AZURE.

ACTIVIDADES
·          Definir la normatividad organizacional relativa a la arquitectura de seguridad.
·          Determinar controles de seguridad acorde con los proncipios, estándares y normatividad aplicable.
·           Definir y operar un proceso que garantice el adecuado diseño de la arquitectura de seguridad para nuevos proyectos y servicios.
·          Establecer los controles y requerimientos de seguridad para realizar procesos de evaluaciones a los proveedores de cloud y on-premise.
·          Definir modelos de arquitectura de seguridad de referencia, con base en frameworks internacionales (Ej. NIST Cloud Computin Re ference Architecture, ISO 27017, CSA, etc. ","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,,,Azure,, Ciudad de México,2021-11-08
239,ADMINISTRADOR DE BASE DE DATOS,"Cuajimalpa de Morelos, Ciudad de México",INGENES,"¡En Instituto Ingenes te estamos buscando!
Ingenes es el instituto de infertilidad y genética con las tasas de éxito más altas de Latinoamérica con un éxito de 96% de tener un bebé en casa. Más de 50,000 sueños cumplidos y nuestras tasas de éxito superan el promedio de las clínicas de fertilidad estadounidenses.
 ""ADMINISTRADOR DE BASE DE DATOS""
¿Cuál es tu Reto?
Manejo, administración y supervisión de toda la información de una manera eficiente, permitiendo así disponer de una mejor herramienta para la toma de decisiones de negocios.
Responsabilidades:
Administración de los Sistemas Gestores de Bases de Datos
Mantenimiento correctivo y preventivo de Bases de Datos
Auditoría Bases de Datos
Seguridad en los Sistemas de Gestión de Bases de Datos
Configuración de Servidores con Interacción del servicio de Bases de Datos.
Conocimientos:
Indispensable manejo de MS SQL Server 2008 o posterior : Herramientas de monitoreo y performance de Bases de Datos, Server Integration Services, Server Reporting Service, Performance, AlwaysOn, Réplicas,Tunning,Esquemas de alta disponibilidad, Modelado de datos, Migraciones de BDs, Planes de mantenimiento, Planes de ejecución, Auditorias, Administración de usuarios y accesos, Seguridad
MySQL 8.X o Superior
Conocimiento de Linux

Requerimientos:
Ingeniería en Sistemas, Lic. computación o a fin
2 años de experiencia como DBA
Inglés INTERMEDIO-AVANZADO
Manejo de MS SQL Server Management Studio
Buscamos una persona muy proactiva, con sentido de urgencia, analítico y atento a los detalles.",No especificado,Empleado de tiempo completo,Nivel Intermedio,Licenciatura,2 años,Proactivo,"SQL, MySQL, SQL server, Linux",, Ciudad de México,2021-11-08
240,Penetration Testing Support Engineer - CyberSecurity Operations,Remoto - Solo México,ISITA,"En ISITA estamos buscando profesionistas emprendedores y sobresalientes, que quieran sumarse a nuestra empresa para crecer juntos y compartir nuestra pasión por la tecnología.
  *** La vacante es en el Edo. de México, pero se puede trabajar remoto.  Favor de SOLAMENTE APLICAR SÍ SE CUMPLE EL PERFIL.
  Los requisitos para esta vacante son:
Más de 3 años de experiencia en administración de sistemas en entornos Windows, Linux, virtuales y en la nube.
Comprensión de los problemas de seguridad para equipos de escritorio, virtuales, servicios en la nube e infraestructuras de red.
Experiencia con algunas de las herramientas que se enumeran a continuación: Kali Linux, Metasploit, Burp suite, Cobalt Strike, Tenable Nessus, Web Inspect, IDA PRO, Wireshark.
Capaz de automatizar tareas y guiones a un nivel básico.
Experiencia con uno o más lenguajes de secuencias de comandos.
Experiencia con pruebas de entorno de nube, Linux y Windows.
Experiencia en sistemas de TI y políticas de seguridad, estándares, tendencias de la industria y técnicas.
Demuestre un enfoque lógico y estructurado para la gestión del tiempo y la priorización de tareas.
Capaz de manejar información altamente confidencial de una manera estrictamente profesional.
Experiencia con protocolos de red seguros y cifrado de comunicaciones entre hosts en red.
Experiencia trabajando con infraestructuras de nube híbrida.
Comprensión práctica de los marcos de evaluación de seguridad como PCI, HIPAA, GDPR, etc.
Comprensión completa del modelo OSI, así como del conjunto de protocolos IPv4 / IPv6.
Conocimiento práctico de las normas / prácticas de seguridad de los sistemas de información (por ejemplo, control de acceso y fortalecimiento del sistema, auditoría del sistema y monitoreo de archivos de registro, políticas de seguridad y manejo de incidentes).
Debe estar orientado a los detalles y poseer sólidas habilidades para la resolución de problemas y capacidad para analizar posibles problemas futuros.
Demostrar un alto nivel de habilidades comunicativas, tanto verbales como escritas.
  DESEABLE
  Experiencia en la evaluación de amenazas APT, pruebas de penetración, gestión de vulnerabilidades, metodologías de ataque, técnicas de análisis forense, análisis de malware, comprensión de la superficie de ataque, operaciones de emulación de ciberamenazas, operaciones del equipo de emulación de amenazas cibernéticas avanzadas e investigación, identificación y / o verificación de nuevos TTP de APT .
Comprensión fundamental del conocimiento de seguridad para probar aplicaciones móviles, nativas, aplicaciones web, sistemas distribuidos y de bases de datos.
Una o más certificaciones profesionales de auditoría o seguridad como CISA, GSEC, CEH y / o CISSP (o experiencia equivalente).
Un título relevante o equivalente y / o experiencia operativa probada",No especificado,Empleado de tiempo completo,Nivel Intermedio,,3 años,Resolucion de problemas,Linux,Remote,Remoto,2021-11-08
241,Security Process Associate | Remoto,"Querétaro, Querétaro",IA Interactive,"Actividades y responsabilidades del puesto:
Generación de políticas y procedimientos de seguridad de la información.
Generación y ejecución de planes de concienciación de seguridad de la información.
Generar controles para evaluar el cumplimiento de las políticas y procesos de seguridad informática.
Evaluación de seguridad de proveedores.
Seguimiento a proceso de certificación.
Mantener una capacitación sobre los controles de cumplimiento de certificacio

Perfil:
Escolaridad sugerida: Ingeniería en Sistemas, Informática o TIC’s o afín.
Experiencia: 1 año en uno o más de los siguientes rubros: Cumplimiento de normativas de seguridad (PCI, ISO 27001, SOC2, LFPDPPP o GDPR), generación de políticas y procedimientos de seguridad de la información.
Modalidad de trabajo: 100% Remoto.

Conocimientos específicos necesarios:
Controles de seguridad de la información.
Auditoría de controles
Controles de PCI
Evaluación e implementación de herramientas de seguridad

Conocimientos específicos deseables:
Técnicas de hacking ético
Devops
Generación de esquemas de seguridad para desarrollos de software
Auditorías de seguridad en el software desarrollado por la agencia

Oferta y prestaciones:
Prestaciones de ley
Trabajo remoto
Horario flexible
Viernes corto
Cursos y certificaciones pagadas
Excelente ambiente laboral
Crecimiento y desarrollo profesional
Boletos de cine
Tarde libre de cumpleaños
Proyectos retadores
Clientes de renombre internacional",No especificado,Empleado de tiempo completo,Nivel Básico,Licenciatura,1 año,,Devops,, Querétaro,2021-11-08
242,Ingeniero de Infraestructura Senior,"Guadalajara, Jalisco",O'Reilly - MAYASA/ORMA Autopartes,"Funciones del puesto:
Trabaja con los arquitectos de sistemas y la dirección para ayudar a dar forma a las normas de seguridad y del sistema y aplicar las mejores prácticas 
Realiza análisis de sistemas, hardware o software para descubrir cuestiones y resolver problemas complicados que suelen abarcar varios sistemas 
Se centra normalmente en los esfuerzos de diseño del sistema y en garantizar que los sistemas se implementen de forma coherente, segura y eficiente 
Diseñar la redundancia del sistema para minimizar el tiempo medio entre fallos (MTBF)  
Proporcionar sistemas y herramientas de recuperación de datos para minimizar el tiempo medio de recuperación (MTTR)  
Colaborar con los ingenieros para desarrollar la automatización del despliegue y el mantenimiento de los servicios existentes y nuevos  
Analizar y solucionar problemas con la base de datos, la red, el almacenamiento, los servidores y los hosts VMware subyacentes  
Revisa las copias de seguridad de la base de datos y los recursos de recuperación de desastres para garantizar la protección de los datos de la empresa. 
Instala nuevas versiones de software, actualizaciones del sistema, evalúa e instala parches del sistema operativo y resuelve problemas relacionados con el software. 
Trabaja con la dirección de TI y el departamento de auditoría interna para garantizar que el software del servidor y la configuración de seguridad cumplen con los requisitos de auditoría. 
Realiza la administración de cuentas de usuario y grupos para los servidores del área de responsabilidad. Realiza la revisión periódica de las cuentas y la configuración de seguridad según los requisitos de auditoría. 
Supervisa el hardware y la configuración del servidor para garantizar la integridad de los datos y el software. 
Abrir tickets de soporte con el proveedor de terceros para resolver problemas si es necesario 

Requisitos del puesto:
Experiencia en migraciones de servidores, software, aplicaciones y servicios. 
Experiencia con hardware, appliance y servicios en la nube como servidores, almacenamiento y equipos de comunicación en general (firewalls switches, etc.) de marcas como Cisco, Palo Alto, Sophos, Fortinet, Dell, EMC y Aruba 
Habilidades de comunicación efectiva, con la capacidad de comunicarse claramente con las partes interesadas y el personal técnico en situaciones de alto estrés.  
Experiencia en la entrega de proyectos grandes y complejos.  
Habilidades excepcionales para la resolución de problemas.  
Gran sentido de la urgencia y deseo de automatizar tareas.  
Deseable: 
Certificación Vmware. 
Experiencia en Veeam 
Experiencia en Active Directory 
Linux Redhat ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,Resolucion de problemas,"Linux, VMWare, Cisco",, Jalisco,2021-11-08
243,Consultor de seguridad informática,"Benito Juárez, Ciudad de México",Valuglobal Consultoria,"Consultor de seguridad informática
Ing. en Cibernética, Ing. Industrial, Ing. en Sistemas o afín.
Proyecto: 6 meses
  Objetivo: Definir e implementar controles y configuraciones de seguridad en la infraestructura tecnológica centralizada (servidores) para dar cumplimiento al estándar PCI-DSS
Experiencia:
En el diseño y despliegue de arquitecturas de seguridad.
Implementación, configuración y administración de las herramientas de seguridad a nivel red (firewall, IDS, IPS, monitoreo de tráfico, etc.).
Definición de estándares y especificaciones técnicas de tecnologías de seguridad.
Definición y aplicación de baselines (hardening) de sistemas operativos, componentes de red y seguridad.
Implementación y administración de controles de seguridad a nivel servidores.
Conocimiento:
Ø   De configuraciones ""seguras"" en diversos componentes tecnológicos tales como:  Firewalls, IPS, Servidores, Dispositivos de usuario final, Aplicaciones web, Bases de datos, Comunicaciones, Sistemas de control industrial.
Ø   En benchmarking del Center for Internet Security (CIS).
Ø   Dominio del estándar PCI-DSS.
Ø   Conocimiento en NIST Cybersecurity Framework.
Actividades:
Ø   Proponer y asegurar la implementación de controles contra malware en servidores y endpoint
Ø   Definir baselines y estándares de hardening.
Ø   Emitir recomendaciones para la implementación de mecanismos de detección de cambios.
Ø   Cifrar todo el acceso administrativo que no sea de consola utilizando un cifrado sólido.
Ø   Implementar pistas de auditoría para vincular todo acceso a componentes del sistema con usuarios específicos.
Ø   Establecer los controles que permitan conservar el historial de pistas de auditorías.
Ø   Implementar pistas de auditoría automáticas en todos los componentes del sistema.
Ø   Revisar los registros y los eventos de seguridad en todos los componentes del sistema para identificar anomalías o actividades sospechosas.",No especificado,Empleado de tiempo completo,Nivel Básico,Licenciatura,,,,, Ciudad de México,2021-11-08
244,Auditor de Sistemas,"Cuajimalpa de Morelos, Ciudad de México",Subastas Ventura,"¡Únete a nuestro equipo! ¡Te estamos esperando!

Manda CV con fotografía

Descripción de puesto:

Especialista en Seguridad IT para la gestión de Seguridad de la Información en las organizaciones, siempre con un enfoque de visión en mejora continua y calidad total, a través de los procesos integrales para garantizar la confidencialidad, integridad y disponibilidad de la información.

Funciones generales:

Diseño, desarrollo y actualización de documentación: Reingeniería y mejora continua de los documentos que se encuentran a cargo de la Dirección de Infraestructura Soporte y Operación CORE. 
Análisis cuantitativo y cualitativo de documentos. 
Matriz de criticidad de documentos. 
Actualización documental: o Actualización prioritaria de los documentos en alcance de auditoria SOX y PCI. 
Conclusión y publicación de aquellos documentos que no están terminados y eliminación de los documentos que no se encuentren operativos. 
Mejora en el contenido, diseño y calidad en la documentación, diagramas de flujo y mediciones. 
Mejora en la correlación y referencias entre los diferentes documentos de la Dirección y las demás Direcciones.  
Revisión de calidad de controles SOX: Revisión de calidad mensual conforme a la matriz de controles asignados a la Dirección de Infraestructura Soporte y Operación CORE 
Matriz de controles o Revisión de calidad o Ajuste mensual 
Seguimiento a auditoria (Interna, Externa y Control Interno): Atención y seguimiento a los requerimientos realizados por el Área de Auditoría Interna, Control Interno y Auditoría Externa (KPMG). 
Requerimiento establecido por cada solicitante. 
Actualización de la CMDB: Garantizar que la totalidad de la infraestructura productiva en alcance de la Dirección de Infraestructura Soporte y Operación CORE, tenga un elemento de configuración (CI) asignado los cuales se encontrarán activos e íntegros. o CMDB actualizada. 
Perfilamiento de APP, SO, BD y herramientas: Asegurar que las APP, SO, BD y herramientas que se encuentran en alcancen de la Dirección de Infraestructura Soporte y Operación CORE tengan un perfilamiento que garanticen una segregación de funciones. 
Matriz de perfilamiento por APP, SO, BD y herramienta. 
Aseguramiento de la calidad de cambios ejecutados en ambiente productivo: Asegurar mensualmente la integridad de los cambios aplicados en el ambiente productivo. 
Matriz de revisión de cambios. 
Evidencias para el cumplimiento de la integridad. 
Actualización del catálogo de servicios: Recertificación de los servicios proporcionados por las áreas de la Dirección de Infraestructura Soporte y Operación CORE. 
Catálogo de servicios actualizados. 
Aseguramiento de cierre oportuno de tickets: Asegurar la calidad y el cierre oportuno de los tickets (SD.IM.RFC) asignados a la Dirección de Infraestructura Soporte y Operación CORE. 
Matriz de asignación 
Correos de seguimiento de tickets.

Conocimientos requeridos:

Análisis en Sistemas de Información. 
Aplicación de mecanismos de seguridad. 
Aplicación de SGSI (Sistema de Gestión de Seguridad de la Información). 
Conocimientos en Norma ISO 27001. 
Cumplimiento normativo ISO 27001. 
Auditorías de Tecnologías de la Información. 
Tester en pruebas funcionales. 
Identificación de Procesos y Políticas del Negocio. 
 Identificación de riesgos 
 ISO 31000 (Risk Manager).","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,,,,, Ciudad de México,2021-11-08
245,Especialista en Gestión de Identidades (IAM),"Miguel Hidalgo, Ciudad de México",Coppel,"Función:   Responsable de diseñar y definir las directrices, procedimientos y mecanismos para administrar cuentas de usuario y otorgar una identidad con sus respectivos derechos de acceso dentro del Grupo, ya sea como cliente o empleado y puedan ingresar a los activos, sistemas e información que requiera mediante los controles de acceso de seguridad implementados y evitar riesgos de robo, alteración y eliminación de información.


Escolaridad:  Ingeniería en Sistemas Computacionales, Licenciatura en Informática, o afines.
Deseable
Maestría en Tecnologías de Información o áreas afines.

Experiencia:  1- 3 años como consultor / operativo / desarrollador de soluciones para control de accesos y gestión de identidades, aplicaciones para biometría, definición de políticas de acceso y establecimiento de catálogos de identidad.

Conocimientos:
ISO 27001/2:  es el marco de Seguridad que adopta Coppel para su estrategia de seguridad e indispensable para el desempeño de sus funciones.
Ciberseguridad.
Gestión de Identidades y Accesos:  para asegurar la correcta asignación de permisos a usuarios conforme a sus funciones de negocio o TI de acuerdo al marco de Seguridad que adopta Coppel.
Deseable:  Certificación  CISSP  (Certified Information Systems Security Professional)

Responsabilidades:
Definir las directrices de seguridad para gestionar adecuadamente las identidades de los distintos tipos de usuarios del Grupo.
Diseñar los procedimientos para asignar permisos de usuarios mediante el uso de controles de seguridad para brindarles acceso a los recursos disponibles, ya sea información, sistemas o instalaciones.
Definir correctamente los atributos asociados a cada identidad para el otorgamiento controlado de permisos de usuarios.
Asegurar la correcta gestión diariamente de los directorios, grupos y usuarios para garantizar su correcto funcionamiento y atención ante cualquier incidente o problema.
Diseñar flujos de trabajo automáticos para generar cuentas de usuario, gestionar las contraseñas asociadas a cada identidad mediante el inicio de sesión único.
Monitorear y controlar las identidades de los distintos tipos de usuario para identificar actividad o patrones inadecuados de comportamiento en el ingreso a los sistemas, recursos e instalaciones.
Apoyar en actividades de auditoría, control interno, cumplimiento normativo regulatorio y de certificación de estándares internacionales para asegurar la seguridad de los accesos.",No especificado,Empleado de tiempo completo,Nivel Intermedio,"Licenciatura, Maestria",1- 3 años,,,, Ciudad de México,2021-11-08
246,Ingeniero de datos,Remoto,Disruptive Studio,"Ingeniero en Datos
  Responsable de diseñar, construir y gestionar los datos y la infraestructura necesaria para almacenarlos y procesarlos. Construyen la base tecnológica para que los científicos de datos y analistas puedan realizar sus tareas. Por lo tanto, son los responsables de mantener sistemas escalables, con alta disponibilidad y rendimiento, integrando nuevas tecnologías y desarrollando el software necesario.
  Requisitos
  ·       Titulación en Ingeniería Informática, o Licenciados en Matemáticas u otras ingenierías con experiencia significativa en programación.
·       Máster o titulación de posgrado en temas relacionados con Data Science, Big Data
·       Experiencia con Datawarehouse, ETL, Minería de datos, Reporting Services y Auditoría de datos, MySQL, MongoDB, Firebase
·       Experiencia con bases de datos relacionales y no relacionales
·       Nivel alto de inglés.
  Funciones
·       Análisis de datos de cliente y propuesta de ideas de valor basadas en ellos.
·       Análisis de requerimientos del cliente.
·       Diseño e implementación de flujos de captura y tratamiento de datos masivos y/o en tiempo real.
·       Testing y despliegue de los algoritmos desarrollados en entornos productivos, usando tecnologías de integración continua, despliegue continuo y contenerización.
·       Adquisición de datos.
·       Desarrollar procesos de conjunto de datos.
·       Preparar datos para modelos predictivos y prescriptivos.
·       Encontrar patrones ocultos usando datos.
·       Usa datos para descubrir tareas que pueden automatizarse.
·       Auditoría de datos
·       Aplicar los procesos de Seguridad de la integridad de los datos
  Habilidades
·       Capacidad alta de abstracción para la búsqueda de soluciones a problemas complejos.
·       Capacidad alta de análisis y diagnóstico de problemas.
·       Iniciativa, motivación por el aprendizaje y 
·       Capacidad para resolver conflictos de forma ágil por prioridades
·       Tolerancia a la frustración
·       Comunicación asertiva
·       Trabajo en equipo
·       Enfoque en resultados","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,,Trabajo en equipo,"MongoDB, MySQL, Firebase",Remote,Remoto,2021-11-08
247,Responsable de la Gestión de Proyectos Seguridad - Remoto en México,Remoto - Solo México,Listopro,"Listopro es la mejor manera de conseguir tu proximo trabajo digital. En Listopro son las empresas quien invita a los candidatos, al completar tu perfil eres considerado para las vacantes que coinciden con tu perfil.

¿Como funciona el proceso?
1.Completa tu perfil en nuestra página. 
2.Espera a que una empresa te invite a su proceso, no necesitas postularte como en los portales tradicionales
3.Crear una cuenta es totalmente gratuita, además te da acceso a varias herramientas, para crear tu CV o acceso a material para capacitarte
4.Si ya tienes cuenta, simplemente entrar a nuestra página y actualiza tu perfil.

Sobre esta posición.
La misión del puesto será liderar la gestión del portafolio de proyectos e iniciativas de ciberseguridad y asegurar la gestión de la capacidad y demanda interna de recursos de operación del producto.

Responsabilidades:
-Gestión de un portafolio al asegurar su cumplimiento para reportar los avances puntuales a los comités de TI y Auditorías.
-Identificar y priorizar nuevas iniciativas y requerimientos que demandan actualizaciones tecnológicas, mitigación de vulnerabilidades implementaciones de proyectos.
-Identificar los riesgos de incumplimiento del plan de proyecto para comunicar los avances y establecer acciones de mitigación y verificar acciones correctivas de cumplimiento del plan de proyecto.
-Gestionar a través de la planeación de la demanda las capacidades del recursos humanos y económicos para priorizar la ejecución de proyectos e iniciativas del portafolio de seguridad.
-Identificar los riesgos de incumplimiento del plan de proyecto, a través de indicadores de efectividad de proyectos, para poder comunicar los avances y establecer acciones de mitigación y verificar acciones correctivas de cumplimiento del plan de proyecto. 
-Liderar el seguimiento del portafolio de proyectos e iniciativas de ciberseguridad alineado a la planeación estratégica de la TI y los requerimientos de la compañía, para entregar avances al comité de auditoría.
-Gestionar el Gobierno de proyectos de Seguridad de la Información, para asegurar el cumplimiento de hitos y entregables para lograr implementación y despliegue en la operación sin disrupción.
-Administrar de manera efectiva el control de presupuesto y recursos asignados a las iniciativas y proyectos de seguridad para así asegurar el cumplimiento de planes de trabajo, distribución adecuada de las capacidades de los equipos designados y realizar ajustes necesarios, apegándose al presupuesto asignado y evitar dispendios o uso ineficiente de los recursos.

Requisitos:
-Universidad terminada.
-3+ años de experiencia en posiciones similares.","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,,3+ años,,,Remote,Remoto,2021-11-08
