Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
BigData Developer,Remoto - Solo México,Luxoft,"https://career.luxoft.com/job/bigdata-developer/294981/

Responsible for the analysis, definition, design, construction, testing, installation, modification, and maintenance of properly engineered information systems, to meet agreed business needs.
You will need to have deep technical skills, be able to quickly grasp and contribute to existing codebases and express design concepts.
Your key responsibilities will be the implementation and automated testing of new aspects of our strategic Big Data project.
You will be working in a global organization with development groups and business stakeholders in several international locations. Therefore, good communication skills are crucial",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,"Comunication skills, Organization, strategic",Express,Remote,Remoto,2020-10-30
Big Data / Kubernetes/Spark,"Cuauhtémoc, Ciudad de México",Nagarro,"Want to be a part of a great team and Company?  Here is an opportunity to boost your career, here at Nagarro Software we have job openings for skilled Big Data to join our Mexico Team!
  Nagarro (Frankfurt: NA9) is a leader in digital product engineering and drives technology-led business breakthroughs.  Our main purpose is to help design the future of the information space. Its expertise and services support the development of knowledge, education, and research in a multicultural approach and contribute to the development of scientific and technological excellence.
      ·          Big Data  / Kubernetes / Spark
  ·          Python
·          AWS Code deploy
·          Kubernetes / Apache spark
Activities:
·          Design, code, test, debug, document, and implement changes to new and existing data pipelines
·          Ensure code is high quality through automated tests, production monitoring, alerting and fixing the issues quickly.
·          Ensure code is self tested through a CI pipeline, can be deployed using Kubernetes and can be managed by the development team (through logs and alerts)
·          Managing production releases Understand and track operating costs of production code and be able to take corrective action
·           Handle critical production issues.
·           Guiding, assisting and training remote developers and contractors on the project.
·          Evaluating cloud based and open source solutions for complexity and costs
·          Developing working PoCs along with architects.
·          Collaborate with the Data Analysts, Application Developers, Report Developers, Architects, Product Man
  Benefits  :
Direct contract with Nagarro 100% payroll
Social Security
10 days of vacation from your first year
30 days bonus
25% vacation premium
5 days off (To take them when you need them)
Major and Minor Medical Insurance (Extends to wife / husband and children)
Life insurance
Relocation voucher and visas (If it's required)
Annual certifications
Bonus support for Home office ( Internet and  Power /Electricity  )
   ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,Collaborate,"Python, Kubernetes, AWS",, Ciudad de México,2020-10-30
Big Data Engineer,"Miguel Hidalgo, Ciudad de México",NTT DATA,"Somos everis an NTT DATA Company
Nos dedicamos a la consultoría abarcando todos los sectores del ámbito económico, somos una gran familia formada por profesionales repartidos por Europa, USA y Latinoamérica y buscamos:
Big Data Engineer
SQL avanzado, algún ETL, deseable Talend
Azure, BI, Shell Script, Bases de Datos RBMS, Oracle, SQL Server, MySQL, Postgress
Big  Data / Hadoop / HDFS
Inglés avanzado
Ubicación : Miguel Hidalgo, CDMX 

- Salario competitivo
- Prestaciones de Ley
- Fondo de Ahorro
- Vales de Home Office
- Vales de Despensa
- Seguro Gastos Médicos Mayores
- Seguro de Vida
- Vacaciones adicionales a Ley
- Política de calidad de vida (Concilia)
Tipo de puesto: Tiempo completo, Indefinido",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"SQL, MySQL, Oracle, MSSQL, Azure",, Ciudad de México,2020-10-30
Big Data,"Miguel Hidalgo, Ciudad de México",NTT DATA,"Somos  everis & NTT DATA Company , nos dedicamos a la consultoría y outsourcing abarcando todos los sectores del ámbito económico, llegando a facturar en el último ejercicio fiscal 1.454 millones de euros. Somos una gran familia formada por más de 27.000 profesionales repartidos por Europa, USA y Latinoamérica.
Creemos en las personas, en su desarrollo integral y en el talento que representan. En everis apostamos firmemente por el talento, y nuestro principal objetivo es conseguir un alto rendimiento profesional al crear un contexto de libertad responsable. 
Nos encontramos en búsqueda de: Big Data Engineer
Perfil requerido:
Escolaridad: Ing. en Sistemas, Electrónica, Computación, Telecomunicaciones, Informática o afín .
Conocimientos básicos de procesamiento y plataformas big data, lenguaje python, SAS, R. 
Conocimiento de arquitectura Datio Base Técnica. 
Modelado de datos Base Técnica Modelado de procesos BPMN, ETL, UML. 

Zona: CDMX, Polanco. (HO por contingencia) 

Ofrecemos: 
Salario competitivo
Prestaciones de Ley
Seguro de vida
Seguro de gastos médicos mayores y menores
Fondo de ahorro
Vales de despensa
Otros
Visita nuestros sitios oficiales y conoce más de  everis
Facebook: everis  
Twitter: Everis Mexico 
Linkedin: everis   
Youtube: everis Latam",No especificado,Recién graduado sin experiencia,Nivel Básico,Licenciatura,,,Python,, Ciudad de México,2020-10-30
Big Data,"Miguel Hidalgo, Ciudad de México",NTT DATA,"En Everis NTT DATA somos una gran familia formada por más de 27.000 profesionales repartidos por Europa, USA y Latinoamérica.
Nos encontramos en búsqueda de: Desarrollador Mobile - Ionic

Perfil requerido:
Conocimientos básicos de procesamiento y plataformas big data, lenguaje python, SAS, R.
Conocimiento de arquitectura Datio Base Técnica.
Modelado de datos Base Técnica Modelado de procesos BPMN, ETL, UML
Deseable: Datio, Spark, Scala

Zona de trabajo: Polanco (HO por contingencia)

Ofrecemos: Salario competitivo, Prestaciones de Ley, Seguro de vida, Seguro de gastos médicos mayores y menores, Fondo de ahorro, Vales de despensa, Otros
Contacto:",No especificado,Empleado de tiempo completo,Nivel Básico,,,,Python,, Ciudad de México,2020-10-30
Big Data Developer,"Querétaro, Querétaro",CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita:
Big Data Developer
Para laborar en CDMX, GDL o Qro
Perfil
Edad:   Indistinta.
Escolaridad:   Ingeniería en Sistemas, Informática o afín.
Estado Civil:   Indistinto.
Sexo:   Indistinto.
Experiencia:   Mínima de 3 años.
Idioma:   Inglés Intermedio-Avanzado Conversacional
Funciones que deberá dominar:
· Conocimientos técnicos:
Java
SQL
Shell Script
JSON
Oracle
Modelado de datos
Control-M
Big Data (Hadoop, Hive, Scala, Spark, Ozzie, AKKA)
Ofrecemos:
· Horario de Lunes a Viernes (horario de oficina)
· Sueldo a negociar según experiencia… en brutos (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)
Interesados mandar su CV en formato Word al correo de contacto(arroba)horizonteempresarial.com.mx o comunicarse con la Lic. Nayeli Barrientos al 52 56 44 90 y 52 56 45 02.","$ 80,000 a 90,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"Java, SQL, Oracle",, Querétaro,2020-10-30
Big Data Engineer,Remoto - Solo México,Ingenia Agency,"In  Ingenia Agency  we’re looking for a  Sr Big Data/ Sr Data Engineer  to join our team.
Responsible for creating and sustaining pipelines that allow for the analysis of data.

What will you be doing?
Conceptualizing and generating infrastructure that allows data to be accessed and analyzed in a global setting.
Load raw data from our SQL Servers, manipulate and save it into Google Cloud databases.
Detecting and correcting errors in data and writing scripts to clean such data up.
Work with scientists and clients in the business to gather requirements and ensure easy flow of data.
What are we looking for?
Age indifferent.
Bachelor's degree in Data Engineering, Big Data Analytics, Computer Engineering, or related field.
Master's degree in a relevant field is advantageous.
Proven experience as a Data Engineer, Software Developer, or similar.
Expert proficiency in Python, R, and SQL.
Familiarity with Google Cloud/ AWS/Azure or suitable equivalent.
Excellent analytical and problem-solving skills.
A knack for independent and group work.
Knowledge of Oracle and MDM Hub.
Capacity to successfully manage a pipeline of duties with minimal supervision.
Advanced English.
Be Extraordinary!
What are we offering?
Competitive salary
Contract for specific period of time
Law benefits:
10 days of vacations to the first year fulfilled
IMSS
Additional benefits:
Contigo Membership (Insurance of minor medical expenses)
Personal accident policy.
Funeral assistance.
Dental and visual health assistance.
Emotional wellness.
Benefits & discounts.
Network of medical services and providers with a discount.
Medical network with preferential prices.
Roadside assistance with preferential price, among others.
3 special permits a year, to go out to any type of procedure that you have to do half day equivalent
Half day off for birthdays
5 days of additional vacations in case of marriage
50% scholarship in language courses in the Anglo
Percentage scholarship in the study of graduates or masters with the Tec. de Mty.
Agreement with ticket company for preferential rates for events of entertainment.",No especificado,Empleado de tiempo completo,Nivel Avanzado,"Bachelor, Master",,"Analitical, Problem solving","Go, Python, SQL, Oracle, AWS, Azure",Remote,Remoto,2020-10-30
Big Data,"Cuajimalpa de Morelos, Ciudad de México",smartjobs,"BIG DATA
    - Formación:  Ciencia de Datos, Ingeniería en Sistemas, Matemáticas, Estadística, Ciencias de la Computación, Actuaría (Título y Cédula indispensable).
  INGLES AVANZADO (INDISPENSABLE)
  Experiencia mínima de 2 o 3 años en puesto similar o campos relacionados:
  · BigData
o Experiencia en manejo del volumen, velocidad, variedad y veracidad de los datos
Programación en Phyton.
 3 años en
Hadoop
Spark
 2 años en
Impala
Scala
· Conocimiento en algún manejador de BD (deseable Microsoft SQL Server):
o Extraer datos sin tener en cuenta la fuente ni el volumen.
o Limpieza de los datos.
o Procesará los datos utilizando métodos estadísticos.
o Rediseñará los datos, si es necesario.
·  Explorar continuamente nuevas fuentes de información
o Dar valor a los datos
o Buscar nuevas ideas
· Industria:
o Financiera o Crediticia o Bancaria
  · Zona: Santa Fe, Cdmx.
  · Conocimientos técnicos:  Inteligencia Artificial / Aprendizaje de Máquina / Modelado y Optimización ( Python, R, Alteryx).  Tecnologías 'Big Data Analysis' / Cómputo Distribuido (SQL, MongoDB, AWS, Azure).
    Ofrecemos:
  Sueldo Base $90,000  + PL
   ","$ 80,000 a 90,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,"3 años, 3 años, 2 años",,"Python, SQL, MSSQL, MongoDB, AWS, Azure",, Ciudad de México,2020-10-30
Programador Big Data con Hadoop,"Coyoacán, Ciudad de México",BADAK,"¡TE ESTAMOS BUSCANDO!         Badak es una importante compañía de tecnología, la cual busca miembros talentosos, apasionados y comprometidos.  Nos encontramos en búsqueda de un: 

Programador Big Data con Hadoop
  Requisitos:
Experiencia en el uso de algún         ELT         como         PowerCenter, SSIS, Talend, SAS Data Integration         o similar
Conocimiento de algún lenguaje de programación de alto nivel como         Java o Python
Experiencia con motores para procesamiento masivo de datos:         Spark         ,         Flink         ,         Hadoop-MapReduce         ,         Cloudera         ,         Hive         o similar (On-premise o Cloud)
Experiencia con         SQL y OLAP         (Online Analytical Processing
Conocimiento de         Shell Scripts         en ambientes         Unix/Linux

Deseable :
Experiencia con algún Cloud Data Warehouse como         BigQuery         ,         Redshift         o similar
Conocimiento de alguna herramienta para ingesta o transferencia masiva de datos como:         Nifi         ,         Sqoop         ,         Airflow         ,         Flume         ,         Kafka         o similar
Experiencia con bases de datos no relacionales como:         HBase         ,         BigTable         ,         DynamoDB         o similar
Conocimiento de análisis de datos con         Modelos Estadísticos         ,         Data Mining         o         Machine Learning.

Zona de Trabajo: 
Centro de la CDMX. ( Home Office temporal )

Ofrecemos:
Salario competitivo de acuerdo con aptitudes.
Prestaciones de ley
Beneficios adicionales como: Seguro de Vida, SGMM, Apoyo a Cursos y/o Certificaciones, descuentos con ópticas entre otros.

¡POSTULATE AHORA! ","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Básico,,,"Analitical, Continuously learn","Linux, Java, Python, SQL, DynamoDB",, Ciudad de México,2020-10-30
Desarrollador Big Data,"Miguel Hidalgo, Ciudad de México",Pypol Soluciones,"Nos encontramos en búsqueda de Desarrolladores Big Data para importante consultora de IT parte de IBM Group.

¿Cuáles serán tus responsabilidades?

Diseñar, desarrollar, implementar y ajustar sistemas distribuidos y tuberías a gran escala que procesan grandes volúmenes de datos; centrándose en la escalabilidad, baja latencia y tolerancia a fallas en cada sistema construido.
Proporciona y apoya la implementación y las operaciones de las canalizaciones de datos y las soluciones analíticas.

¿Qué experiencia debes tener?

Experiencia laboral en participación en equipos de trabajo ágiles.
Experiencia en ingeniería de datos, desarrollo de canales de datos complejos.
Experiencia con Java, Python para escribir canalizaciones de datos y capas de procesamiento de datos.
Experiencia en la redacción de consultas complejas y altamente optimizadas en grandes conjuntos de datos.
Experiencia con almacenes de datos relacionales, NoSQL / en memoria (Oracle, Cassandra, Druid).
Experiencia en el desarrollo de servicios de datos API REST.

¿Cuáles son las principales herramientas que utilizarás?

Tecnologías de Big Data Hadoop, Hive, Kafka, Presto, Spark, Hbase, Sacala.
GCP, Azure.

El salario ofrecido es neto con esquema 100% nominal + prestaciones superiores de ley.","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,,,"Java, Python, Oracle, NoSQL, Cassandra, Azure",, Ciudad de México,2020-10-30
Desarrollador Big data,"Cuauhtémoc, Ciudad de México",SOLUCIONES VITALENTO,"Gonet, consultoría líder de TI con presencia en USA y México, cuenta con 13 años en México atendiendo clientes VIP con importantes retos y diversas soluciones tecnológicas
   Te invitamos a que crezcas con nosotros 
  Vacante: Desarrollador Big Data Sr
Experiencia desarrollando en AWS Big Data más de 5 años
(EMR, Redshift, Kinesis, Kafka)
Se requiere experiencia sobre HDF, S2 Y S3  
De momento la vacante es Home Office pero se planea próximamente regreso a las oficinas ubicadas a 5 min del metro Oceanía o la otra sede puede ser Reforma.
Te ofrecemos: sueldo neto: 50,000 libres de impuestos
Prestaciones de Ley y Superiores ( Seguro de Vida y seguro de Gastos Médicos Mayores)
  Te invitamos a que nos mandes tu CV o bien compartas esta publicación a algún amigo tuyo
Contacto whats  5531290741  y
  Te esperamos
 ","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Intermedio,,"13 años, 5 años",,"S3, AWS",, Ciudad de México,2020-10-30
