Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
IOS DEVELOPER,"New Jersey, USA",Active Tek,"Active Tek is a global provider of business-focused IT solutions with offices in all North America, and our aim is to connect talent throughout México, US and Canadá. Through either on-site or nearshore delivery, Active Tek teams up with IT and Business Leaders to improve their experience.

We are dedicated to taking care of our customer’s IT requirements from on- site staffing to complex implementations with up-close attention and simplicity!


Requirements
Bachelor Degree or Engineering on Computer Systems, or related (Title and Cédula)
Valid Mexican Passport 
Conversational English level
No legal issues in México and USA
Willing to relocate to the United States
Time and Effort to take client interviews

7+ years overall experience
5+ years on iOS Development experience
Swift 
PODs
Xcode.
Experience in standard debugging techniques such as logging, LLDB, and/or Instruments to localize and correct Software defects.
Understanding of the challenges related to mobile development including battery and radio usage as well as CPU and memory constraints.
Experience in iterative software development environments (Agile, Kanban)
Experience with Test-Driven Development, Continuous Integration, and other Agile practices
Good experience in using Apple s XCode for software development
Understanding of common design patterns including Model-View-Controller.
Hands on experience using smartphones and/or tablets preferably iPhone and/or iPad.""


Benefits - Concierge services in all the process.
- TN visa fee paid by the company
- Social Security Number travel expenses
- Relocation expenses:
      - Flight ticket
      - 2 weeks of housing
      - Relocation bonus of $600 USD
      -  Reimbursement of Flight tickets and TD visa (spouse and children) after 1 year of labor.
- Family Health Insurance
- 401k (Retirement plan)
- Holidays
- 10 days of vacation
- Training and Certifications",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,"7+ years, 5+ years, 1 year",,Swift,, USA,2021-11-04
iOS Developer - Remoto en Latinoamérica,Remoto,Listopro,"Listopro es la mejor manera de conseguir tu proximo trabajo digital. En Listopro son las empresas quien invita a los candidatos, al completar tu perfil eres considerado para las vacantes que coinciden con tu perfil.

¿Como funciona el proceso?
1.Completa tu perfil en nuestra página. 
2.Espera a que una empresa te invite a su proceso, no necesitas postularte como en los portales tradicionales
3.Crear una cuenta es totalmente gratuita, además te da acceso a varias herramientas, para crear tu CV o acceso a material para capacitarte
4.Si ya tienes cuenta, simplemente entrar a nuestra página y actualiza tu perfil.

Sobre esta posición.

Responsabilidades:
-Creación de nuevas funcionalidades.
-Análisis y traducción de procesos comerciales a código.
-Proponer soluciones en el código que mejoren su calidad (¡estamos abiertos a cambios!).
-Participación en proyectos paralelos (a discreción): expansión del proceso CI / CD, desarrollo de pruebas E2E en dos plataformas, Huawei Assistant Smart Cards o desarrollo de un backend basado en GraphQL.

Requisitos:
-Estudios universitarios completos.
-Al menos 3 años de experiencia desarrollando con Combine / SwiftUI / Jenkins / REST / Swift / GraphQL / Appium.
-Inglés conversacional fluido.","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Intermedio,,3 años,,"Swift, Jenkins, graphql, Appium",Remote,Remoto,2021-11-04
iOS Developer,"Benito Juárez, Ciudad de México",CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información Solicita:
iOS Developer
Para laborar en CDMX/GDL/QRO
Perfil
Escolaridad:  Ingeniería en Sistemas, Informática o afín.
Inglés:  Avanzado
Experiencia:  Mínima de 4 años.
  Requisitos:
·          Experiencia en desarrollo de iOS
·          Comprensión exhaustiva de Swift y Objective-C
·          Familiaridad con la integración continua (Jenkins), monitoreo de aplicaciones (Crashlytics / fabric.io), herramientas como Apiary, herramientas de compilación, pruebas unitarias y pruebas de automatización
·          Comprensión e implementación de controladores del lado del cliente para servicios web con servicios REST en el backend
·          Comprensión exhaustiva de XCode y Github
·          Conocimiento / comprensión de CocoaPods
·          El marco UIKit y sus patrones de programación
·          Inglés conversacional
Ofrecemos                                                       
Sueldo de $30,000 a $50,000 (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)
Interesados mandar su CV en formato Word al correo de contacto reclutamiento(arroba)horizonteempresarial.com.mx o comunicarse con la
Lic. Claudia Medina al 52 56 44 90 y 52 56 45 02.
 ","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,4 años,,"C/C++, Swift, Jenkins, Github",, Ciudad de México,2021-11-04
Sr iOS Developer - Remoto Global,"Cuauhtémoc, Ciudad de México",Listopro,"Listopro is a platform that connects candidates with companies in Latin America. It is the first where when completing your profile, it is the companies that invite you to their processes.

How does the process work?
1.The first step is to complete your profile on our page.
2.We will contact you to be validated.
3. Companies invite you to their processes.
4.Creating an account is completely free.
5.If you already have an account, just go to listopro.com  and update your profile.

About position.
We offer effective solutions and understand the necessities of our clients. Our main goal is helping organizations discover and reach their full potential by solving and anticipating challenges.

We are looking for a Senior iOS Developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.

Responsibilities:
- Mission Critical App Development for one of the largest global telecom companies in the world.
- Will be working remotely with a multinational Development team with professionals from the UK, Spain, the US, South America, and Mexico.
- Responsible along with your team, for the development of new features, customizations, and fixes for the iOS version of one of the company's Mission Critical Products.
- You will be meeting daily with the customer team and with the management at the company to report your progress and learn new tasks and feed back.
- You will be developing using Agile, writing code, unit tests, and the usual SDLC tasks.
- You will also be working with top talent form around the world.

Requirements:
- Strong Swift Experience (5 years or more).
- Customer and Results oriented.
- Some Objective C is welcome.
- Familiar with design patterns such as MVVM, Clean and Viper.
- Native Frameworks: UIKIT, CoreLocation, MapKit, URLSession.
- Experience using SonarQube, ideally.
- Solid knowledge of the Software Development LifeCycle.
- Good coding practices.
- CI/CD Experience.
- Fluent English speaker (mandatory).
- Testing Automation with Selenium is a plus.
4377","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Avanzado,,5 years,Continuously learn,"C/C++, Objective-C, Swift, Selenium, Next.js",, Ciudad de México,2021-11-04
Desarrollador iOS Medio,"Tlalpan, Ciudad de México",FACTUMEX,"FACTUM TECHNOLOGIES




Empresa española de servicios de seguridad y comunicaciones. El alto conocimiento técnico de nuestros empleados es el principal valor de nuestra compañía. Estamos presentes en grandes clientes del ámbito español y trabajamos también en proyectos internacionales en Latinoamérica y Europa.




SOLICITAMOS EL SIGUIENTE PERFIL:

Desarrollador iOS Medio

Desarrollo de aplicaciones nativas en iOS, Swift, Objetive C y Conocimientos en SQL.
Implementación de controladores / Storyboards / Segues / Nibs.
Protocolos + Bloques/Closures + Observadores.
Hilos / GCD / KVO.
Persistencia de datos: SQlite / CoreData / Keychain.
Referencias (Weak y Strong) /  Herencias en clases.
Consumo de Servicios expuestos en Amazon (Uso de herramientas como Cognito, Appsync, AWS FacebookSignIn).
Manejo de la cámara con AVCaptureSession / Framework de localización.




                                                                                                                                                                                   Zona de Trabajo: SUR CDMX


Ofrecemos: 
Estabilidad Laboral y un excelente ambiente de trabajo
Posición por tiempo indefinido.
  Salario negociable.
  Prestaciones de ley y superiores.
  Estabilidad y crecimiento profesional, formación constante
  Seguro de Gasto Médicos Mayores y Menores
 Membresía de descuentos en +3500 establecimientos  
Entre otros mas beneficios,  ¡ven e intégrate a un gran equipo!",No especificado,Empleado de tiempo completo,Nivel Básico,,,,"C/C++, SQL, Swift, AWS",, Ciudad de México,2021-11-04
Desarrollador iOS Senior,"Tlalpan, Ciudad de México",FACTUMEX,"FACTUM TECHNOLOGIES

Empresa española de servicios de seguridad y comunicaciones. El alto conocimiento técnico de nuestros empleados es el principal valor de nuestra compañía. Estamos presentes en grandes clientes del ámbito español y trabajamos también en proyectos internacionales en Latinoamérica y Europa.



SOLICITAMOS EL SIGUIENTE PERFIL:


Desarrollador iOS Senior

Base Técnica Principal:

Conocimiento en ciclo de vida de la aplicación 
Programación orientada a objetos
Manejo de base de datos(Sqlite, Realm, etc)
Manejo consumos a servicio web
Manejo de memoria
dispath queues
Threads
Operation queues
Grand central dispatch
Protocolos
Usernotifications
Observers
KVO
Pruebas Unitarias
Pruebas UI
Haber subido una aplicaciones  a la tienda
Haber manejado patrones de diseño (MVC, VIPER, etc)
Control de versiones(git, GitHub, gitbuket, etc)
Grand central dispatch swift
Base Técnica Secundario:
Capacidad de escuchar y entender requerimientos del cliente.
Eficiencia y proactividad bajo presión.
Capacidad para trabajar en equipos multidisciplinarios.
Resolución de problemas.
Buena administración de tiempo.
Habilidad de ser ordenado para trabajar.
 Actitud de servicio
Capacidad analítica para solucionar problemas
Trabajo en equipo
Orientación a metas y resultados
Ser autodidacta.
Razonamiento lógico

                                                                                                                                                                                   Zona de Trabajo: SUR CDMX

Ofrecemos: 
Estabilidad Laboral y un excelente ambiente de trabajo
Posición por tiempo indefinido.
  Salario negociable.
  Prestaciones de ley y superiores.
  Estabilidad y crecimiento profesional, formación constante
  Seguro de Gasto Médicos Mayores y Menores
 Membresía de descuentos en +3500 establecimientos  
Entre otros mas beneficios,  ¡ven e intégrate a un gran equipo!",No especificado,Empleado de tiempo completo,Nivel Básico,,,"Capacidad Analitica, Resolucion de problemas, Trabajo en equipo","Swift, Git, Github, UI",, Ciudad de México,2021-11-04
Swift,"Álvaro Obregón, Ciudad de México",Acute Talent,"Conocimientos técnicos en: Programación
orientada a objetos, Swift/Objective-c, Control de
versiones, Arquitectura, Xcode, Git, Zeplin, Trello,
Postman, Charles.

Programar nuevos módulos basados en historias de usuarios
que se verán reflejado en nuevas funcionalidades de la aplicación.

Mantenimiento u optimización de módulos existentes basadas
en historias de usuario con la finalidad de mejorar la experiencia
de usuario.

Trabajar en equipo con Diseñadores, Scrum masters, PO, QA´s,
desarrolladores, etc.

Solucionar errores e Incidencias presentadas por el área de
procesos de calidad y usuarios.

Proponer soluciones e implementar nuevas tecnologías para
maximizar la eficiencia del desarrollo.",No especificado,Empleado de tiempo completo,Nivel Básico,Master,,,"C/C++, Swift, Scrum, Trello, Git, Zeplin",, Ciudad de México,2021-11-04
Desarrollador iOS Junior,"Tlalpan, Ciudad de México",FACTUMEX,"FACTUM TECHNOLOGIES


Empresa española de servicios de seguridad y comunicaciones. El alto conocimiento técnico de nuestros empleados es el principal valor de nuestra compañía. Estamos presentes en grandes clientes del ámbito español y trabajamos también en proyectos internacionales en Latinoamérica y Europa.





SOLICITAMOS EL SIGUIENTE PERFIL:


Desarrollador iOS Junior

Desarrollo de aplicaciones nativas en iOS, Swift, Objetive C y Conocimientos en SQL.
Implementación de controladores / Storyboards / Segues / Nibs.
Protocolos + Bloques/Closures + Observadores.
Hilos / GCD / KVO.
Persistencia de datos: SQlite / CoreData / Keychain.
Referencias (Weak y Strong) /  Herencias en clases.
Consumo de Servicios expuestos en Amazon (Uso de herramientas como Cognito, Appsync, AWS FacebookSignIn).
Manejo de la cámara con AVCaptureSession / Framework de localización.



                                                                                                                                                                                   Zona de Trabajo: SUR CDMX
Ofrecemos: 
Estabilidad Laboral y un excelente ambiente de trabajo
Posición por tiempo indefinido.
  Salario negociable.
  Prestaciones de ley y superiores.
  Estabilidad y crecimiento profesional, formación constante
  Seguro de Gasto Médicos Mayores y Menores
 Membresía de descuentos en +3500 establecimientos  
Entre otros mas beneficios,  ¡ven e intégrate a un gran equipo!",No especificado,Empleado de tiempo completo,Nivel Básico,,,,"C/C++, SQL, Swift, AWS",, Ciudad de México,2021-11-04
Desarrollador IOS,"Tlalpan, Ciudad de México",AsTecI,"AsTecI Consultoria especializada en perfiles TI, busca talento para importante cliente como:

DESARROLLADOR IOS

Si cuentas con experiencia de 2 año con manejo de:

Manejo de Xcode 11 y Swift 4 o mayor
• Storybards.•consumo de API REST.
•Conocimientos de diseño, patrones, y las mejores prácticas de interfaz de usuario de iOS•Git.
•Comprensión de los principios de diseño de iOS de Apple y directrices de interfaz.
•Conocimiento y manejo de Cocoapods

Horario de trabajo Lunes a Viernes
Zona de trabajo: Insurgentes Sur

Ofrecemos:

Sueldo libre de $30, 000 a $35,000}
pago por nómina
prestaciones de ley

si te interesa nuestra oferta envía tu CV actualizado al correo mencionado y nos pondremos en contacto contigo. Gracias","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Básico,,2 año,,"Swift, Git",, Ciudad de México,2021-11-04
Desarrollador iOS Sr.,"Miguel Hidalgo, Ciudad de México",RH Situacional,"Contamos con una vacante para trabajar de manera híbrida, siendo un porcentaje menor en presencial y el resto del tiempo estar disponible en su horario de trabajo en Home Office.

Buscamos a una persona que tenga alta capacidad de análisis y concntración, que tenga buena disposición para la comunicación y el trabajo de equipo, habilidad para la resolución de problemas, que pueda ser ordenado y metódico con el fin de poder observar donde y como puede mejorar su rendimiento.

Los requisitos para el puesto son:

Licenciatura en Ingeniería en Computación, Tecmnologías de la información o afínes.
Inglés conversaional al 80% o superior a B2.

Se necesita experiencia de al menos 3 años en lo siguiente:

 Desarrollo de aplicaciones nativas con JAVA o Swift, deseabke manejar kotlin.
 Experiencia en pruebas unitarias.
 Diesño, desarrollo, implementación y consumo de Web Services SOAP y REST.
 Indispensable domínio de las arquitecturas MVC, MVP, MVVM.
 Domínio en el uso de Pods, Gradle y GIT.
 Conocimiento en FrameWorks para el desarrollo como son alamoFire, y RetroFit.
 Patrones de diseño y buenas prácticas de desarrollo.
 Conocimiento y experiencia en entornos Agile (Scrum).
 Deseable el uso de Fortify.
 Detección y correción de memory leaks.
 Domínio de StoryBoard, XIB / XML y constraints por código.
 Domínio de librerías complementarias (mapas, localización, cámara).
 Persistencia de datos nativa, (Room, Core Data).
 Uso de notificaciones push.
 Menejo de hilos.
 Uso de string files (localized).

Principales funciones a desarrollar.

Desarrollar e implementar bnuevos flujos en la app.
Mantener y mejorar el código existente.
Recomendar mejoras a los flujos existentes según sea necesario.
Comunicarse de forma clara y regular con los elementos del Scrum Team.

El sueldo es 100% nómina.
Se ofrecen prestaciones de ley y superiores.

Por favor postúlate por este medio o envía tu CV a: con el asunto: ""Vacante Desarrollador iOS Sr.""","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,3 años,Resolucion de problemas,"Java, Kotlin, Swift, Office, Scrum, Git",, Ciudad de México,2021-11-04
Desarrollador iOS | 100% Remoto,Remoto - Solo México,IA Interactive,"Actividades y responsabilidades del puesto:
Analizar y codificar código limpio iOS (Swift).
Investigar e implementar nuevas tecnologías o características de la plataforma.
Comunicarse de forma fluida con el equipo de trabajo.
Versionamiento de código (Git).
Garantizar estándares de codificación.

Perfil:
Escolaridad sugerida: Ingeniería en Sistemas, Informática o TIC’s o afín.
Experiencia: 2 años en la plataforma, publicación en App Store, Push Notifications y Firebase SDK.
Modalidad de trabajo: 100% Remoto durante y despues de pandemia.
Horario de trabajo:  Lunes a jueves 9:00 am - 6:30 pm y viernes 9:00 am - 3:00 pm.

Conocimientos específicos necesarios:
Swift.
Servicios REST.
Real, Core data.
Pasarelas de ecomerce: Conekta, OpenPay, Visa Checkout, Paypal.
SDKS: Firebase, AWS, Facebook. 
MVVM, Clean o Viper.

Conocimientos específicos deseables:
Swift UI.
Wallet CI.
Pruebas unitarias.
Pruebas de performance.
Inglés intermedio.

Oferta y prestaciones:
Prestaciones de ley
Trabajo remoto
Horario flexible
Viernes corto
Cursos y certificaciones pagadas
Excelente ambiente laboral
Crecimiento y desarrollo profesional
Boletos de cine
Tarde libre de cumpleaños
Proyectos retadores
Clientes de renombre internacional",No especificado,Empleado de tiempo completo,Nivel Básico,Licenciatura,2 años,,"Swift, Firebase, AWS, Git, UI",Remote,Remoto,2021-11-04
